Address,PSI Status,PSI Error,Performance Score,Total Size Savings (Bytes),Total Time Savings (ms),Total Requests,Total Page Size (Bytes),HTML Size (Bytes),HTML Count,Image Size (Bytes),Image Count,CSS Size (Bytes),CSS Count,JavaScript Size (Bytes),JavaScript Count,Font Size (Bytes),Font Count,Media Size (Bytes),Media Count,Other Size (Bytes),Other Count,Third Party Size (Bytes),Third Party Count,Core Web Vitals Assessment,CrUX First Contentful Paint Time (ms),CrUX First Contentful Paint Category,CrUX First Input Delay Time (ms),CrUX First Input Delay Category,CrUX Largest Contentful Paint Time (ms),CrUX Largest Contentful Paint Category,CrUX Cumulative Layout Shift,CrUX Cumulative Layout Shift Category,CrUX Interaction to Next Paint Category,CrUX Interaction to Next Paint (ms),CrUX Time to First Byte Category,CrUX Time to First Byte (ms),Eliminate Render-Blocking Resources Savings (ms),Defer Offscreen Images Savings (ms),Efficiently Encode Images Savings (ms),Properly Size Images Savings (ms),Minify CSS Savings (ms),Minify JavaScript Savings (ms),Reduce Unused CSS Savings (ms),Reduce Unused JavaScript Savings (ms),Serve Images in Next-Gen Formats Savings (ms),Enable Text Compression Savings (ms),Preconnect to Required Origins Savings (ms),Server Response Times (TTFB) (ms),Multiple Redirects Savings (ms),Preload Key Requests Savings (ms),Use Video Format for Animated Images Savings (ms),Total Image Optimization Savings (ms),Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)
https://www.andelskassen.dk/privat/kort-og-mobilbetalinger/,Success,NA,59,2361207,15682,30,4296757,21077,2,1519523,6,46294,2,330753,9,2376996,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996,0,0,3600,0,0,150,900,6900,0,0,3136,0,0,0,10500,66
https://www.andelskassen.dk/om-banken/vilkaar-priser-og-regler/klagevejledning/,Success,NA,70,243251,4353,28,2785938,19770,2,12125,4,45992,2,329545,9,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,0,0,0,0,0,150,1050,0,0,0,2185,0,0,0,0,66
https://www.andelskassen.dk/nyheder/2022/september/andelskassen-fjerner-negative-renter-paa-indlaan/,Success,NA,56,2257102,13270,28,4182883,21581,2,1407258,4,45992,2,329546,9,2376392,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963,0,0,3300,0,0,150,900,6600,0,0,1357,0,0,0,9900,66
https://www.andelskassen.dk/nyheder/2022/oktober/redegoerelse-fra-finanstilsynet/,Success,NA,56,3343241,17397,29,4698344,20426,2,1922364,5,46596,2,329848,9,2376996,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978,0,750,8700,0,0,150,900,5550,0,0,369,0,0,0,15000,66
https://www.andelskassen.dk/om-banken/,Success,NA,54,609038,8439,26,3041239,22839,2,264356,2,45992,2,329546,9,2376392,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,0,750,0,0,0,300,900,1050,0,0,4479,0,0,0,1800,66
https://www.andelskassen.dk/privat/pension/aldersopsparing/,Success,NA,51,773011,7274,28,3361850,21503,2,586304,4,45992,2,329545,9,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,0,0,1350,0,0,150,900,1200,0,0,2841,0,0,0,2550,66
https://www.andelskassen.dk/om-banken/vilkaar-priser-og-regler/legitimation-og-dokumenter/erhvervskunder/,Success,NA,48,2160928,12784,30,4151903,25419,2,1350864,2,48339,3,348473,12,2376694,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0,0,3300,0,150,300,900,6300,0,0,1141,0,0,0,9600,66
https://www.andelskassen.dk/privat/kundeprogram/fordelskunde/,Success,NA,44,428386,3035,26,2987516,21423,2,210237,2,45992,2,330754,9,2376996,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010,0,0,450,0,0,150,900,450,0,0,75,0,0,0,900,66
https://www.andelskassen.dk/om-banken/vilkaar-priser-og-regler/legitimation-og-dokumenter/privatkunder/oplysninger-om-dit-kundeforhold/,Success,NA,57,2137158,11256,26,4128852,20925,2,1350864,2,46596,2,331055,9,2377298,8,0,0,2114,3,121433,8,Pass,1075000,Good,17000,Good,1283000,Good,"0,010",Good,Good,145,Good,493,697,0,0,3300,0,0,150,900,6150,0,0,59,0,0,0,9450,66
https://www.andelskassen.dk/privat/kort-og-mobilbetalinger/pengeautomater/,Success,NA,60,2322931,12173,29,4265823,20899,2,1490881,5,45992,2,329545,9,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,0,0,3600,0,0,150,900,6750,0,0,65,0,0,0,10350,66
